number ,value  ,datetime_start             ,datetime_complete          ,duration               ,params_lgbm__bagging_fraction ,params_lgbm__bagging_freq ,params_lgbm__feature_fraction ,params_lgbm__lambda_l1 ,params_lgbm__lambda_l2 ,params_lgbm__min_child_samples ,params_lgbm__n_estimators ,params_lgbm__num_leaves ,state
29     ,-2.777 ,2021-10-26 21:06:04.051902 ,2021-10-26 21:06:11.648712 ,0 days 00:00:07.596810 ,0.786449987056358             ,7                         ,0.9892189059414269            ,0.0022169055548454724  ,0.007053949636281566   ,63                             ,302                       ,2                       ,COMPLETE
126    ,-2.766 ,2021-10-26 21:09:05.276006 ,2021-10-26 21:09:19.965987 ,0 days 00:00:14.689981 ,0.5720452874319593            ,4                         ,0.6085739633799212            ,4.191218073653498      ,5.164934870801661      ,66                             ,530                       ,244                     ,COMPLETE
207    ,-2.707 ,2021-10-26 21:11:40.101531 ,2021-10-26 21:11:50.831847 ,0 days 00:00:10.730316 ,0.5067031208183533            ,3                         ,0.6980506535513624            ,0.028386082046726043   ,0.004935555430465906   ,68                             ,351                       ,186                     ,COMPLETE
171    ,-2.694 ,2021-10-26 21:10:33.656679 ,2021-10-26 21:10:41.708720 ,0 days 00:00:08.052041 ,0.6141752725508258            ,4                         ,0.8146262932266454            ,0.8227152581334851     ,2.8853711723185463e-05 ,72                             ,325                       ,48                      ,COMPLETE
366    ,-2.694 ,2021-10-26 21:17:17.963414 ,2021-10-26 21:17:23.688935 ,0 days 00:00:05.725521 ,0.48447429079181376           ,7                         ,0.6427223865223095            ,0.015332022781577305   ,0.003372340762623342   ,65                             ,445                       ,16                      ,COMPLETE
69     ,-2.694 ,2021-10-26 21:07:10.486572 ,2021-10-26 21:07:19.020847 ,0 days 00:00:08.534275 ,0.42668531299898116           ,6                         ,0.7146795619159056            ,0.015375661363067367   ,8.841859421691731e-05  ,62                             ,685                       ,15                      ,COMPLETE
30     ,-2.694 ,2021-10-26 21:06:08.701289 ,2021-10-26 21:06:14.498248 ,0 days 00:00:05.796959 ,0.572566903561991             ,7                         ,0.7458414296388974            ,2.840377890318087e-05  ,0.005676268387821051   ,80                             ,316                       ,4                       ,COMPLETE
68     ,-2.694 ,2021-10-26 21:07:10.150901 ,2021-10-26 21:07:19.863459 ,0 days 00:00:09.712558 ,0.4920347693679365            ,6                         ,0.95844210468767              ,1.5054510701652862e-06 ,6.28665124186653e-05   ,63                             ,686                       ,16                      ,COMPLETE
7      ,-2.688 ,2021-10-26 21:04:32.826511 ,2021-10-26 21:04:53.877580 ,0 days 00:00:21.051069 ,0.8584383752677093            ,3                         ,0.41230002827981277           ,1.690280369260076e-05  ,2.270125257095709e-05  ,58                             ,608                       ,145                     ,COMPLETE
186    ,-2.638 ,2021-10-26 21:10:52.943533 ,2021-10-26 21:11:11.274463 ,0 days 00:00:18.330930 ,0.5175066407595895            ,5                         ,0.7161772020486893            ,1.505244547862431      ,0.30243358227565315    ,85                             ,373                       ,41                      ,COMPLETE
212    ,-2.631 ,2021-10-26 21:11:47.987183 ,2021-10-26 21:12:14.110212 ,0 days 00:00:26.123029 ,0.5402519180744382            ,6                         ,0.697427886919367             ,0.017379460154242903   ,0.009898990829564669   ,15                             ,346                       ,183                     ,COMPLETE
101    ,-2.625 ,2021-10-26 21:08:07.142310 ,2021-10-26 21:08:19.356485 ,0 days 00:00:12.214175 ,0.5080157561683841            ,4                         ,0.7374286431684605            ,0.0014674160035406463  ,0.0020352238920140985  ,53                             ,287                       ,209                     ,COMPLETE
178    ,-2.578 ,2021-10-26 21:10:41.721717 ,2021-10-26 21:10:54.323431 ,0 days 00:00:12.601714 ,0.561252929695888             ,5                         ,0.9000640154227214            ,0.21069384665720647    ,0.0028694148362642257  ,80                             ,353                       ,2                       ,COMPLETE
378    ,-2.572 ,2021-10-26 21:17:36.030497 ,2021-10-26 21:17:58.402341 ,0 days 00:00:22.371844 ,0.4691928566352594            ,7                         ,0.6641655131935997            ,0.03205176099469652    ,0.002517667600624359   ,25                             ,417                       ,166                     ,COMPLETE
56     ,-2.54  ,2021-10-26 21:06:49.587912 ,2021-10-26 21:07:07.438140 ,0 days 00:00:17.850228 ,0.6143778039280334            ,1                         ,0.9159141176997103            ,0.1664298986837153     ,0.18936371163664664    ,55                             ,573                       ,42                      ,COMPLETE
124    ,-2.538 ,2021-10-26 21:09:01.452774 ,2021-10-26 21:09:18.053763 ,0 days 00:00:16.600989 ,0.5747666203824751            ,3                         ,0.8401269495600381            ,0.6807384318011286     ,6.0915294340019255     ,30                             ,444                       ,36                      ,COMPLETE
264    ,-2.495 ,2021-10-26 21:13:48.623585 ,2021-10-26 21:14:01.485357 ,0 days 00:00:12.861772 ,0.47545869497514076           ,7                         ,0.5734292523962741            ,0.005984026655836357   ,0.0074043926785041896  ,28                             ,419                       ,7                       ,COMPLETE
381    ,-2.481 ,2021-10-26 21:17:38.934503 ,2021-10-26 21:17:58.928822 ,0 days 00:00:19.994319 ,0.49722150737729026           ,7                         ,0.6641505037510169            ,0.03837422369160494    ,0.00030185258772251694 ,28                             ,352                       ,168                     ,COMPLETE
85     ,-2.478 ,2021-10-26 21:07:32.218083 ,2021-10-26 21:07:50.057014 ,0 days 00:00:17.838931 ,0.5492815409445102            ,4                         ,0.8469985366734955            ,0.00019389012486254836 ,0.0004794987120930727  ,32                             ,458                       ,199                     ,COMPLETE
