Division,Date,HomeTeam,AwayTeam,Full_Time_Result,Half_Time_Home_Team_Goals,Half_Time_Away_Team_Goals,Half_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Target_Shots,Away_Team_Target_Shots,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Home_Team_Red_Cards.1,Bet365_Home_Win_Odds,Bet365_Draw_Odds,Bet365_Away_Win_Odds,BetAndWin_Home_Win_Odds,BetAndWin_Draw_Odds,BetAndWin_Away_Win_Odds,Interwetten_Home_Win_Odds,Interwetten_Draw_Odds,Interwetten_Away_Win_Odds,WilliamHill_Home_Win_Odds,WilliamHill_Draw_Odds,WilliamHill_Away_Win_Odds,VCBet_Home_Win_Odds,VCBet_Draw_Odds,VCBet_Away_Win_Odds,Home Overall Score,Home Attack Score,Home Middle Score,Home Defensive Score,Home Budget,Away Overall Score,Away Attack Score,Away Middle Score,Away Defensive Score,Away Budget,HOME_ELO,AWAY_ELO,Difference_Overall_Score,Difference_Attack_Score,Difference_Middle_Score,Difference_Defensive_Score,Difference_Budget,DIFFERENCE_ELO
SP1,2009-09-20,Valencia,Sp Gijon,0.0,1.0,1.0,D,25.0,6.0,10.0,5.0,21.0,11.0,8.0,1.0,4.0,2.0,0.0,1.0,1.29,5.25,10.0,1.25,5.5,8.5,1.27,5.0,10.0,1.29,4.5,8.0,1.3,4.5,9.0,80,73,76,75,18.0,73,69,71,68,1.9,1125.5665987790505,921.3275827531471,7,4,5,7,16.1,204.23901602590342
SP1,2009-09-20,Zaragoza,Valladolid,2.0,1.0,1.0,D,18.0,9.0,5.0,4.0,14.0,18.0,11.0,2.0,0.0,2.0,0.0,0.0,2.1,3.3,3.5,2.0,3.2,3.45,2.0,3.3,3.6,1.91,3.2,3.5,2.0,3.2,3.4,74,70,72,68,5.0,74,68,71,71,3.3,970.9289562365637,924.7596657495776,0,2,1,-3,1.7000000000000002,46.16929048698614
SP1,2009-09-22,Santander,Barcelona,2.0,0.0,3.0,A,4.0,20.0,2.0,6.0,10.0,10.0,2.0,3.0,4.0,1.0,0.0,0.0,10.0,5.0,1.3,8.5,5.4,1.25,8.5,4.5,1.35,9.0,5.0,1.33,9.0,5.0,1.3,75,68,71,65,3.5,84,73,77,74,85.0,993.0361145344972,1289.944856850328,-9,-5,-6,-9,-81.5,-296.90874231583086
SP1,2009-09-22,Sevilla,Mallorca,1.0,2.0,0.0,H,10.0,8.0,6.0,4.0,24.0,21.0,4.0,5.0,1.0,1.0,0.0,0.0,1.44,4.2,7.5,1.38,4.3,6.8,1.45,4.0,7.0,1.44,4.33,7.0,1.44,3.75,7.0,79,71,78,71,30.0,73,70,70,68,2.0,1164.0226136113306,1124.3372907839057,6,1,8,3,28.0,39.6853228274249
SP1,2009-09-23,Ath Madrid,Almeria,0.0,1.0,1.0,D,24.0,12.0,9.0,7.0,24.0,13.0,7.0,7.0,3.0,2.0,0.0,0.0,1.44,4.33,7.0,1.4,4.2,6.75,1.5,3.9,6.5,1.5,4.0,7.0,1.44,3.8,6.5,79,70,73,69,25.0,74,69,69,68,2.8,1105.0028281002672,960.7212191550285,5,1,4,1,22.2,144.28160894523864
SP1,2009-09-23,Espanol,Malaga,1.0,0.0,1.0,A,12.0,15.0,5.0,9.0,14.0,13.0,11.0,7.0,2.0,4.0,0.0,0.0,2.0,3.4,3.75,1.85,3.35,3.85,1.85,3.4,4.0,2.1,3.3,3.5,1.9,3.3,3.6,75,73,67,67,11.0,74,68,69,68,2.5,1043.7166618381314,1013.438705119319,1,5,-2,-1,8.5,30.277956718812334
SP1,2009-09-23,Getafe,Valencia,1.0,2.0,1.0,H,16.0,8.0,6.0,2.0,4.0,16.0,4.0,10.0,2.0,4.0,0.0,0.0,3.0,3.3,2.35,2.95,3.35,2.15,3.1,3.3,2.2,3.0,3.25,2.38,2.9,3.2,2.25,75,72,72,75,2.5,80,73,76,75,18.0,986.6995762934126,1115.0029446084613,-5,-1,-4,0,-15.5,-128.30336831504871
SP1,2009-09-23,Tenerife,Ath Bilbao,1.0,0.0,0.0,D,21.0,5.0,8.0,3.0,24.0,21.0,8.0,2.0,3.0,6.0,0.0,0.0,2.6,3.25,2.7,2.5,3.3,2.5,2.55,3.3,2.55,2.6,3.2,2.75,2.4,3.2,2.62,72,67,70,68,1.6,75,66,70,70,8.5,987.4864924234947,1005.8879589288351,-3,1,0,-2,-6.9,-18.40146650534041
SP1,2009-09-23,Valladolid,Osasuna,2.0,0.0,1.0,A,10.0,10.0,1.0,3.0,23.0,15.0,4.0,3.0,3.0,3.0,2.0,0.0,2.15,3.3,3.4,2.05,3.3,3.2,2.0,3.3,3.6,2.2,3.2,3.4,2.1,3.2,3.2,74,68,71,71,3.3,74,68,69,70,5.5,945.7225795861636,974.5590663714305,0,0,2,1,-2.2,-28.836486785266857
SP1,2009-09-23,Villarreal,Real Madrid,2.0,0.0,1.0,A,10.0,17.0,4.0,6.0,23.0,20.0,4.0,5.0,2.0,3.0,1.0,0.0,5.5,3.8,1.6,5.65,3.85,1.5,5.3,3.5,1.65,5.5,3.75,1.62,5.5,3.75,1.57,78,78,75,74,17.5,83,71,80,72,100.0,1100.836551751583,1204.8775930986942,-5,7,-5,2,-82.5,-104.0410413471111
