Division,Date,HomeTeam,AwayTeam,Full_Time_Home_Team_Goals,Full_Time_Away_Team_Goals,Full_Time_Result,Half_Time_Home_Team_Goals,Half_Time_Away_Team_Goals,Half_Time_Result,Home_Team_Shots,Away_Team_Shots,Home_Team_Target_Shots,Away_Team_Target_Shots,Home_Team_Fouls_Commited,Away_Team_Fouls_Commited,Home_Team_Corners,Away_Team_Corners,Home_Team_Yellow_Cards,Away_Team_Yellow_Cards,Home_Team_Red_Cards,Home_Team_Red_Cards,Bet365_Home_Win_Odds,Bet365_Draw_Odds,Bet365_Away_Win_Odds,BetAndWin_Home_Win_Odds,BetAndWin_Draw_Odds,BetAndWin_Away_Win_Odds,Interwetten_Home_Win_Odds,Interwetten_Draw_Odds,Interwetten_Away_Win_Odds,WilliamHill_Home_Win_Odds,WilliamHill_Draw_Odds,WilliamHill_Away_Win_Odds,VCBet_Home_Win_Odds,VCBet_Draw_Odds,VCBet_Away_Win_Odds,Season,Home Overall Score,Home Attack Score,Home Middle Score,Home Defensive Score,Home Budget,Away Overall Score,Away Attack Score,Away Middle Score,Away Defensive Score,Away Budget
SP1,2006-08-26,Valencia,Betis,2.0,1.0,H,1.0,0.0,H,14.0,8.0,4.0,5.0,18.0,26.0,5.0,6.0,3.0,3.0,0.0,0.0,1.57,3.6,6.0,1.6,3.5,5.25,1.6,3.4,5.2,1.61,3.3,5.0,1.55,3.25,5.5,2006_2007,81,83,80,78,25.0,76,76,74,73,5.0
SP1,2006-08-27,Ath Bilbao,Sociedad,1.0,1.0,D,1.0,0.0,H,7.0,10.0,2.0,4.0,19.0,23.0,4.0,2.0,2.0,4.0,0.0,0.0,2.0,3.2,3.75,1.95,3.2,3.6,2.0,3.0,3.6,1.9,3.1,3.6,1.9,3.2,3.4,2006_2007,76,75,74,73,1.0,72,72,72,70,2.5
SP1,2006-08-27,Espanol,Gimnastic,0.0,1.0,A,0.0,0.0,D,20.0,18.0,6.0,7.0,25.0,27.0,6.0,7.0,2.0,3.0,0.0,0.0,1.72,3.4,5.0,1.7,3.4,4.55,1.75,3.3,4.2,1.8,3.1,4.0,1.65,3.25,4.5,2006_2007,76,78,74,72,15.0,72,75,70,68,1.5
SP1,2006-08-27,La Coruna,Zaragoza,3.0,2.0,H,2.0,1.0,H,14.0,13.0,6.0,6.0,22.0,19.0,1.0,6.0,4.0,4.0,0.0,1.0,2.0,3.2,3.75,1.95,3.25,3.55,2.0,3.2,3.0,2.05,3.1,3.2,1.9,3.2,3.5,2006_2007,75,72,75,75,8.0,76,78,77,72,5.0
SP1,2006-08-27,Osasuna,Getafe,0.0,2.0,A,0.0,0.0,D,15.0,7.0,7.0,2.0,26.0,22.0,6.0,1.0,5.0,4.0,0.0,0.0,1.83,3.3,4.33,1.85,3.35,3.8,1.85,3.2,3.8,1.83,3.2,3.75,1.75,3.2,4.35,2006_2007,78,80,76,73,7.5,74,74,74,74,1.0
SP1,2006-08-27,Real Madrid,Villarreal,0.0,0.0,D,0.0,0.0,D,14.0,13.0,3.0,4.0,22.0,18.0,4.0,5.0,2.0,3.0,0.0,0.0,1.53,3.8,6.0,1.5,3.85,5.75,1.55,3.5,5.5,1.5,3.4,6.0,1.45,3.6,6.5,2006_2007,84,85,81,81,85.0,77,80,76,73,15.0
SP1,2006-08-27,Recreativo,Mallorca,1.0,1.0,D,0.0,0.0,D,7.0,17.0,2.0,6.0,19.0,15.0,3.0,2.0,3.0,2.0,0.0,0.0,2.3,3.25,3.0,2.2,3.2,3.0,2.2,3.0,3.1,2.25,3.1,2.8,2.25,3.1,2.8,2006_2007,72,70,71,68,1.5,72,71,71,71,2.5
SP1,2006-08-27,Santander,Ath Madrid,0.0,1.0,A,0.0,1.0,A,16.0,11.0,8.0,4.0,25.0,25.0,11.0,2.0,3.0,4.0,0.0,1.0,3.1,3.2,2.25,3.0,3.2,2.2,2.9,3.0,2.3,2.8,3.1,2.25,2.75,3.1,2.25,2006_2007,72,72,71,68,2.5,79,82,76,77,6.0
SP1,2006-08-28,Celta,Barcelona,2.0,3.0,A,1.0,0.0,H,12.0,12.0,3.0,6.0,21.0,16.0,4.0,7.0,0.0,2.0,1.0,0.0,5.5,3.4,1.67,5.0,3.6,1.6,4.2,3.3,1.75,4.5,3.2,1.7,5.0,3.25,1.6,2006_2007,74,76,73,73,6.0,85,83,83,82,75.0
SP1,2006-08-29,Sevilla,Levante,4.0,0.0,H,2.0,0.0,H,18.0,6.0,10.0,3.0,1.0,3.0,6.0,1.0,1.0,3.0,0.0,0.0,1.44,4.0,7.5,1.45,3.75,7.0,1.55,3.5,5.5,1.44,3.6,6.5,1.5,3.6,5.5,2006_2007,79,81,76,77,15.0,74,73,74,73,2.5
